acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
J7KE372U,66,Frauen 45+,Bezahlt,Post/Bank,28.06.2009,"Aletsch-Halbmarathon, Bettmeralp",E5BFE92E60DA2F9D886756F25DDA543B,Overall Frauen,362,Datasport,11933,952E7140030CF8E89FD1E80BB4D1EC2E389F3D432BD25EE0D85FFEED92EB8ADB,Klassiert,"3:21.23,6",568
J7KFG725,,Ultra Marathon Frauen F45,Bezahlt,Online,01.07.2017,"Gornergrat Zermatt Marathon, Zermatt",3FE3FB6A2B1F44AC52610136D4A7B255,Ultra Marathon Overall Frauen,,Datasport,19196,7ABA8F74C1B62CFEB168BBE96CFB484F2AEADAC1BC09EFB257CAAEE4EE384D1E,Nicht Klassiert,,noch nicht zugeteilt
J7KFG725,5,Maratona Donne W40,Bezahlt,Online,18.10.2015,"Ascona Locarno Marathon, Locarno",FBB26E9773D8E962746F2E215D519078,Maratona Donne Overall,10,Datasport,17633,FD2FD83DC8E1425F695A0DBC6C973A4CD5474B70568315E08CC98D072D000AB6,Klassiert,"3:28.26,6",71
J7KFG725,4,100-km-Lauf W40,Bezahlt,Online,11.06.2015,"Bieler Lauftage, Biel/Bienne",2872B822565E8BDA638C1A61C75B41EE,100-km-Lauf Frauen,18,Datasport,17114,B5613E1873A5431117B68E3687EAF383D3DF39F9C7989398B6E77DAE5872ACAD,Klassiert,"10:31.08,4",2715
J7KFG725,31,Marathon Frauen 40,Bezahlt,Online,13.09.2014,"Jungfrau-Marathon, Interlaken",14EC139C254E3B6A8B809E1F910349B2,Marathon Overall Frauen,137,Datasport,16106,C7546CEE249E21E36CA5DFDA8F3BFD2C58575551356EAF6E321AAF048C24D704,Klassiert,"4:51.36,2",4692
J7KFG725,11,Frauen 40+,Bezahlt,Online,29.06.2014,"Aletsch-Halbmarathon, Bettmeralp",73832620AB5CEDB131C64FEE3D0BB487,Overall Frauen,59,Datasport,16933,916EEB7D51E5761F9BC57C50CDAE7083DF86C547434DFAD4E88A5B05649AB1F5,Klassiert,"1:19.12,4",853
J7KFG725,10,Bruggelauf Frauen F40,Bezahlt,Post/Bank,11.08.2013,Basler Bruggelauf,C5ACEDEC229EBE224FD6AF6DBF452F4C,Bruggelauf Frauen Overall,27,Datasport,15699,0798724CD453F92CAFC610E40BF8A652FB259750A6307E1D7B3BFA588C0F2478,Klassiert,"1:20.35,1",495
J7KFG725,13,Marathon Frauen F40,Bezahlt,Online,06.07.2013,"Zermatt Marathon, Zermatt",735F6640325C3286D82E1228336C7690,Marathon Overall Frauen,54,Datasport,15196,C9015A0B6ADE2D2C7E2B6696475C83598A04E171F9DC6357781D4535DE439E76,Klassiert,"5:32.52,3",232
J7KFG725,68,Frauen 30+,Bezahlt,Online,27.06.2010,"Aletsch-Halbmarathon, Bettmeralp",06D8681CAECE456A5A1BB69B774629AB,Overall Frauen,244,Datasport,12933,AF998470F87E4A7098A27E4A60496139D1EEB203F32523194C2EA3703F676EA6,Klassiert,"2:55.31,1",1095
J7KFG725,2,1/2-Marathon W35,Bezahlt,Online,10.06.2010,"Bieler Lauftage, Biel/Bienne",D5ACD7E9C3483FD2BF122247C3E7F5C7,1/2-Marathon Frauen,9,Datasport,12114,77D68863C79C74ED8CEA9E91B8E092383A678406CD2354E5DE903EA3B558567A,Klassiert,"1:45.18,3",5425
