acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
11Q4F1BL,,11.4km Walking,Bezahlt,Post/Bank,22.08.2015,"VullyRun, Salavaux/Vully",7486C727DFC5AA3C5F0385E91F4FE2B2,,,Datasport,17469,A009E6753FE3C04CD3FEA935B6A95C2500B402AE672794A41AB39C11C949FAA3,Klassiert,"2:40.20,4",3074
11Q4F1BL,5,Marathon Frauen F50,Bezahlt,Online,09.07.2011,"Zermatt Marathon, Zermatt",62BCFF816C4BB5B9AD031BA3DCC29C1C,Marathon Overall Frauen,64,Datasport,13196,FA0C5ADC20F61ECABD9B029E7967B5D100539DCA1B75119F85ED9867E365AAAD,Klassiert,"5:29.57,6",228
11Q4F1BL,14,Frauen 50+,Bezahlt,Post/Bank,26.06.2011,"Aletsch-Halbmarathon, Bettmeralp",C03D40240F5F432BF90654F75026F4A4,Overall Frauen,214,Datasport,13933,B29049DA948CE8D0377B43DFEA0F79605EE28140976A08A5A129AEA184A43C0D,Klassiert,"2:50.43,4",1579
11Q4F1BL,47,Frauen 45+,Bezahlt,Online,27.06.2010,"Aletsch-Halbmarathon, Bettmeralp",2DB936F542B0B4500975D83F1BC3DE3D,Overall Frauen,210,Datasport,12933,2CE9AD8D397C6487175EB067EA2B91D869DE78BE950BA2E40498D081331B926E,Klassiert,"2:51.54,5",910
11Q4F1BL,19,Femmes W45,Bezahlt,Keine Zahlung,03.10.2009,Morat-Fribourg,1A2305F0DC9E6153C8019CAA2E47016B,Overall Femmes,132,Datasport,11109,3DF2FB993F3CBDE2D0467F7DE0C19B90C0E1525F741C3A28B64A76D9CFAECDF8,Klassiert,"1:24.26,0",2032
11Q4F1BL,16,"21,1km Frauen W45",Bezahlt,Online,19.09.2009,"Int Greifenseelauf, Uster",A7428B242C24749405E893729BDA8F21,"21,1km Damen Overall",140,Datasport,11108,A4861C2E438B2CAE406A49056B0A7857292F4341584E660389D76D4D24671853,Klassiert,"1:41.07,7",2662
11Q4F1BL,9,Frauen 45+,Bezahlt,Online,28.06.2009,"Aletsch-Halbmarathon, Bettmeralp",E775F531DC6FE306E0108A6F2635B906,Overall Frauen,70,Datasport,11933,9D02C324F4F41F7550BCF3D6BBBC666768982343BAD8C8D28A09FD7336FD6759,Klassiert,"2:39.41,5",612
11Q4F1BL,15,Frauen W45 10km,Bezahlt,ESR,14.06.2009,Schweizer Frauenlauf Bern,003C716F08E96009805B3A4FD635B967,Overall Running 10km,102,Datasport,11105,BEAE5B6777BE276C90B796BB5218F514DE95222751CF8FBE9825C3D4163562BE,Klassiert,"45.18,0",1071
11Q4F1BL,1,10km F45 Femmes,Bezahlt,Keine Zahlung,25.04.2009,20km de Lausanne,3C5157632C894D8AD7B79AF3C39E9782,10km Overall Femmes,37,Datasport,11102,04DEFB1973144C825BFB6D4AF7E6D211B265882B7FE0145F2E46364C8EE939AE,Klassiert,"45.13,1",4918
11Q4F1BL,13,(F45) 15 km Frauen 45-49 Jahre,Bezahlt,ESR,21.03.2009,Kerzerslauf,5EBA9237A48F1DB52E105C7FCA98A618,Overall 15 km,1283,Datasport,11101,97FBEE7799CDE0E729FCD4ABF7286EA20135E67037235D2892FDCB84F9A309F2,Klassiert,"1:09.00,0",3220
11Q4F1BL,14,Semi Dames III,Bezahlt,,26.10.2008,Lausanne Marathon,267F21104F6BF7BF7C0989CAABE6B382,Semi Marathon Dames,67,Datasport,10110,7A70C17025ABA3B42C919F6A68163B5D0B3F76168372BC3ED7D1331F028C7CDF,Klassiert,"1:40.20,9",2372
11Q4F1BL,33,Femmes W45,Bezahlt,,04.10.2008,Morat-Fribourg,B611C78E81E037A75A330761EEF7A4BB,Overall Femmes,176,Datasport,10109,8E7E0AA0626114EDD6B0D6BF8A111C4D4511298A3D56967F918CE6D818E7A40A,Klassiert,"1:25.10,6",2019
11Q4F1BL,7,Femmes W45 10km,Bezahlt,,20.09.2008,A travers Carouge - Run to Run,57AC7549CA911D2FD6337A3743367D90,Overall 10km Femmes,62,Datasport,10534,61718D4E1DAE07945F25CC4B18A12C40A2DD3895FBD8A3D073792697D773EA9D,Klassiert,"45.49,0",1398
11Q4F1BL,16,Frauen 45+,Bezahlt,,29.06.2008,"Aletsch-Halbmarathon, Bettmeralp",0E63B1D0A9A009587668198CD01D20E6,Overall Frauen,119,Datasport,10933,51BBBE66431E17514C20ADE3D5989D0D51C168A7AB7525C85356709ADB395750,Klassiert,"2:43.51,2",836
11Q4F1BL,3,10km F45 Femmes,Bezahlt,,26.04.2008,20km de Lausanne,C1414AF80231AF9DEA2868937EF9B964,Overall Femmes 10km,23,Datasport,10102,12B28E7CFBCE5049F37FB66B28AE99C0E00F4C62DB9B44A53DAAF5D41B1F9758,Klassiert,"44.37,4",5202
11Q4F1BL,10,Mezza-Maratona Donne Seniori 2,Bezahlt,,11.11.2007,"Maratona Ticino, Tenero",771DE950E03C84B0213830F9D5E1DB03,Mezza-Maratona Donne,38,Datasport,9164,C2BE1B22BAFE8CB638B89F3996B2B48B26A7B142932F37E66D9826332F3663C6,Klassiert,"1:36.53,4",2544
11Q4F1BL,21,Femmes W45,Bezahlt,,06.10.2007,Morat-Fribourg,C5C67CB0C84D1DEE674BB305B8B1DBD1,Overall Femmes,140,Datasport,9109,7922EB6ADD9096C6EDED759A5A8A5ADE1D990BA5A869028AABB2D5273EAB93ED,Klassiert,"1:23.56,6",1041
11Q4F1BL,32,Frauen 45,Bezahlt,,08.09.2007,"Jungfrau-Marathon, Interlaken",051148E6D39CC4747F5CC9600AAC7441,Frauen,233,Datasport,9106,58AD95348EBDA523BD6A3D62D9E6292B7EE0713CF1D5513F27B2BC9EBFE7600B,Klassiert,"5:01.43,2",2666
11Q4F1BL,10,femmes II,Bezahlt,,21.07.2007,"Tour des alpages, Anzère",5D213DE50F70A0C30A4A38E9F330475F,,,Datasport,9330,241ECF1F5C7E23814F9896DF7BB157798093857229A72DD80108C8087BD34296,Klassiert,"1:37.55,9",285
11Q4F1BL,11,Frauen 45+,Bezahlt,,24.06.2007,"Aletsch-Halbmarathon, Bettmeralp",832099E0EBD105B2E3231EA60A2A69D7,Overall Frauen,45,Datasport,9933,08BD42936DD1EB3E3CA8BE4F9626338BD46C3D954E595EEB97DB26E59845380B,Klassiert,"2:30.56,8",812
11Q4F1BL,7,Frauen W45 10km,Bezahlt,,10.06.2007,"Schweizer Frauenlauf, Bern",E84AECD4979B31EF39FFB733C17A81C0,Overall Running 10km,48,Datasport,9105,2465661AC63F7246C3F8856194EBA2B17423DA2B56E1F89116703489997557A8,Klassiert,"43.16,5",1126
11Q4F1BL,7,Marathon Femmes 3,Bezahlt,,06.05.2007,Genève Marathon,068AB1AD39147CC3FEAB94FDA6167173,Overall Marathon Femmes,11,Datasport,9934,F029C76F0D1CF29DCB870F7FB51549C3A75A10DC39DBE635E2E7A3429FFF3051,Klassiert,"3:27.13,6",70
11Q4F1BL,4,10km F45 Femmes,Bezahlt,,28.04.2007,20km de Lausanne,1F78C3D2EC72FE07C61247C1A65A1EA8,Overall Femmes 10km,21,Datasport,9102,E69EE804DBEC6A084CC56D2EE63D0D3021B853A656D7F49A5A95189588073252,Klassiert,"43.49,0",5015
11Q4F1BL,11,(F45) 15 km Frauen 45-49 Jahre,Bezahlt,,17.03.2007,Kerzerslauf,55FDD9F549141746823D987844C16FF3,Overall 15 km,1286,Datasport,9101,8238D290EDD75F313CB7091BF89A9AC7C7DA47970278CE6F8CD360E52743DA8A,Klassiert,"1:08.27,4",5176
11Q4F1BL,95,ESCALADELITE FEMMES,Bezahlt,,02.12.2006,"Course de l'Escalade, Genève",84449544BD66BCA50A7E162B5ABBD22D,,,Datasport,8112,EFC97F4FF9ECA10DFEA193C238968F396B3C0E1FC7CB92FF075E2380DBB3B178,Klassiert,"20.58,6",4456
11Q4F1BL,23,Femmes F40,Bezahlt,,18.11.2006,"Corrida Bulloise, Bulle",6B8AF209D88AFC3D5CAE19AF37E732E1,,,Datasport,8962,E2F751047F381D7297CCF5CD64ED67FCDD884D777412FC1AAE53BCE9FDEACBB7,Klassiert,"27.26,3",332
11Q4F1BL,31,Femmes W45,Bezahlt,,30.09.2006,Morat-Fribourg,555374400CA2F581778D35AB67B408CE,Overall Femmes,203,Datasport,8109,8DEFC096C80D00335BF06D8138289C1814079617F7983E5079259F3E5A5C724D,Klassiert,"1:26.40,5",2042
11Q4F1BL,5,Frauen F40,Bezahlt,,03.09.2006,Basel City Marathon,91A7A62438268D024EA5EAA1AB623213,Overall Marathon Women,15,Datasport,8939,3F612AF72A2DE488F4348B6E9556A5CF6D6EBB7FF9FF39B0CA3AC691F19C282C,Klassiert,"3:40.26,2",137
11Q4F1BL,14,Frauen 45+,Bezahlt,,25.06.2006,"Aletsch-Halbmarathon, Bettmeralp",D92C6E5892AA926240E6780DA2F02B67,Overall Frauen,77,Datasport,8933,377631D4468BAFEA0C8373427A6A21298041B5CEEFB1831F537E58AF43C0958C,Klassiert,"2:34.20,2",459
