acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
FKRQQKAZ,69,Halbmarathon Männer M50,Bezahlt,Online,30.10.2016,"SwissCityMarathon - Lucerne, Luzern",20A0AE18528C83ABD67C6E850B8F1108,Halbmarathon Männer Overall,800,Datasport,18248.0,C0498CF788D8549FB7B13C0E61871856A9EB5977F0DB9986B29968EB74EED7F3,Klassiert,"1:36.15,8",3949
FKRQQKAZ,97,42km Männer M50,Bezahlt,Online,22.02.2014,"Gommerlauf, Ulrichen",A6E9E5892797367FC3142D8B071F3BFE,Overall Männer 42km,379,Datasport,16704.0,FEA6B6F652A99F0C7AD2541917102B347600D329ABB958A9AD4BBEAF3C441940,Klassiert,"2:50.36,9",663
FKRQQKAZ,690,Marathon Herren Masters 5+6 U60,Bezahlt,ESR,10.03.2013,"Engadin Skimarathon, Maloja/S-Chanf",637F6D8F47A79DE91A8F43DBD6FECD81,Marathon Herren Overall,3362,Datasport,15705.0,C5C4884B3D13E27C26A2A1147A34070B83C852BD95A145F9DE92B4E2EF5E83B2,Klassiert,"2:22.24,3",31783
FKRQQKAZ,1228,Firmengruppen Happy-Runners,Bezahlt,Post/Bank,28.04.2012,Luzerner Stadtlauf,606058055DA2B3976E8BE32DCCB333D7,,,Datasport,14103.0,FD9D3FB2710714590D4CA8FBA645B3F9A5370373622C0840002C2ED74C93CBB2,Klassiert,"16.10,9",23319
FKRQQKAZ,1043,Marathon Herren Hauptklasse A,Bezahlt,Online,11.03.2012,"Engadin Skimarathon, Maloja/S-Chanf",43487E67A2965309DB663079649C6F46,Marathon Männer,3596,Datasport,14705.0,851631D2FF9B8330AD61F7A62A3E8BF1F0573A9B3CBB483241666E89957FCCA4,Klassiert,"2:39.37,7",31704
FKRQQKAZ,63,Marathon Männer M40,Bezahlt,Keine Zahlung,30.10.2011,"Lucerne Marathon, Luzern",FBDB63105E53FD67AEB0FF91E195B9E6,Marathon Männer,157,Datasport,13248.0,043C4FEAA93B84B05C3DA5C4C685E1E58B607AD5B62C8C58AA1AEF000D556D81,Klassiert,"3:12.15,0",1741
FKRQQKAZ,23,Mountainman Ultra Männer M40,Bezahlt,Online,20.08.2011,"Mountainman, Titlis-Hasliberg-Pilatus",E9FB73B2FCFA1C298605A8A8AAA9086D,Mountainman Ultra Männer Overall,56,Datasport,13617.0,41543C83D6B8867339E8BDC0C2912EDE38F9E30EE528C86E2DE43BCCBEECB383,Klassiert,"13:18.39,5",170
FKRQQKAZ,35,Halbmarathon Männer M40,Bezahlt,Online,21.05.2011,"Sempacherseelauf, Sursee",636D7F028F4A20D0BB7FF832686E88B2,Overall Halbmarathon Männer,82,Datasport,13612.0,65A133D0D8B610D5127AEC7011E7EF919B793264864E74F286932420DC65E696,Klassiert,"1:29.37,0",874
FKRQQKAZ,27,Männer M40,Bezahlt,Post/Bank,16.04.2011,"Rotseelauf, Ebikon",EB9B7EC9AF532B063DAFBD460C74A9EF,Overall Männer 10km,80,Datasport,13943.0,B5461AC81EBF020F7C8646FC36B7ABB84CC1CE4A50AD4E6ECEDB68923C7D9E6B,Klassiert,"39.19,0",1789
FKRQQKAZ,60,Marathon Männer M40,Bezahlt,Online,31.10.2010,"Lucerne Marathon, Luzern",9A59D3761B748B6C13DFFAA0AEAE6B74,Marathon Männer,152,Datasport,12248.0,7BE52349AB10D1F170400250EC5C30932D6B63ACE908FF1F76295D1D07437D17,Klassiert,"3:08.10,0",1521
