,Hour,Humidity (%),Pressure (hPa),Rain (mm/1h),Temperature (°C),Visibility (km),Wind (average) (km/h),eventDate,eventName
0,11.5,85.5,1011.0875,0.2608695652173913,10.825000000000001,5.958333333333333,7.708333333333333,2016-04-23,20km de Lausanne
0,11.5,71.5,1013.3041666666667,0.3333333333333333,14.475000000000001,10.083333333333334,13.166666666666666,2015-04-25,20km de Lausanne
0,11.5,73.79166666666667,1011.7458333333334,0.16666666666666666,13.858333333333333,10.791666666666666,6.166666666666667,2014-04-26,20km de Lausanne
0,11.5,88.70833333333333,1006.4916666666668,1.4909090909090912,8.004166666666665,9.416666666666666,9.666666666666666,2013-04-27,20km de Lausanne
0,11.5,57.0,1008.6375000000002,0.0,17.925,19.708333333333332,5.416666666666667,2012-04-28,20km de Lausanne
0,11.5,69.08333333333333,1004.6083333333336,0.0,12.5875,21.041666666666668,5.791666666666667,2011-04-30,20km de Lausanne
0,11.5,55.708333333333336,1016.3083333333335,0.0,14.704166666666666,11.083333333333334,5.333333333333333,2010-04-24,20km de Lausanne
0,11.5,54.791666666666664,1012.6333333333332,0.0,13.329166666666667,17.5,4.0,2009-04-25,20km de Lausanne
0,11.5,56.458333333333336,1025.416666666667,0.0,12.895833333333336,,9.238095238095237,2008-04-26,20km de Lausanne
0,11.5,59.94117647058823,1020.1874999999999,8.0,17.7625,17.083333333333332,8.090909090909092,2007-04-28,20km de Lausanne
0,11.5,59.791666666666664,1016.5124999999999,,15.075000000000003,15.25,10.263157894736842,2006-04-22,20km de Lausanne
0,11.5,73.41666666666667,1013.2625000000002,0.5,11.612499999999999,,8.73913043478261,2005-04-23,20km de Lausanne
0,11.5,58.0,1019.8333333333335,,13.195833333333333,,23.166666666666668,2004-04-24,20km de Lausanne
0,11.5,78.78260869565217,1015.6782608695653,1.2,12.708695652173912,,11.956521739130435,2003-04-26,20km de Lausanne
0,11.5,53.208333333333336,1017.3375000000001,7.5,11.266666666666666,,7.916666666666667,2002-04-27,20km de Lausanne
0,11.5,73.875,1016.4250000000001,1.6666666666666667,11.916666666666666,,6.5,2000-04-29,20km de Lausanne
0,11.5,71.18181818181819,1018.2181818181817,,9.213636363636363,,5.409090909090909,1999-04-24,20km de Lausanne
