Speed (m/s) Rounded,count,10km count,42km count,21km count,male count,female count,time,10km time,42km time,21km time,male time,female time
1.6,2,0.0,1.0,1.0,2,0.0,19535.5,5907.0,26005.0,13066.0,19535.5,5907.0
1.7,2,1.0,1.0,0.0,1,1.0,15222.5,5907.0,24538.0,11622.0,24538.0,5907.0
1.8,12,8.0,2.0,2.0,6,6.0,9504.0,5490.625,23439.5,11622.0,13525.0,5483.0
1.9,21,7.0,8.0,6.0,9,12.0,13217.857142857143,5255.857142857143,21920.0,10904.0,13951.111111111111,12667.916666666666
2.0,51,23.0,10.0,18.0,20,31.0,10072.56862745098,4984.608695652174,21014.7,10494.888888888889,12814.65,8303.483870967742
2.1,77,43.0,13.0,21.0,28,49.0,8750.454545454546,4760.2558139534885,19920.30769230769,10006.190476190477,10267.5,7883.571428571428
2.2,150,88.0,20.0,42.0,60,90.0,7882.993333333333,4535.704545454545,19132.05,9539.666666666666,10081.25,6417.488888888889
2.3,225,129.0,32.0,64.0,77,148.0,7678.1466666666665,4339.248062015504,18290.34375,9102.015625,9618.103896103896,6668.844594594595
2.4,346,161.0,40.0,145.0,126,220.0,7625.156069364162,4166.180124223602,17493.8,8743.427586206897,8909.150793650793,6889.777272727273
2.5,494,251.0,78.0,165.0,182,312.0,7480.334008097166,3997.800796812749,16750.0,8395.981818181817,9053.60989010989,6562.589743589743
2.6,608,341.0,86.0,181.0,241,367.0,6837.434210526316,3842.9530791788857,16132.255813953489,8062.646408839779,8521.726141078838,5731.400544959128
2.7,786,394.0,94.0,298.0,321,465.0,6669.199745547074,3705.005076142132,15562.265957446809,7783.107382550335,8402.239875389409,5472.843010752688
2.8,878,418.0,110.0,350.0,395,483.0,6570.928246013667,3570.531100478469,15022.50909090909,7498.048571428571,7897.825316455696,5485.784679089027
2.9,984,503.0,109.0,372.0,464,520.0,6099.995934959349,3449.783300198807,14451.394495412844,7236.432795698925,7215.510775862069,5104.613461538462
3.0,941,430.0,132.0,379.0,517,424.0,6307.43995749203,3332.4837209302327,14011.212121212122,6999.612137203167,7275.752417794971,5126.73820754717
3.1,904,411.0,114.0,379.0,542,362.0,6017.024336283186,3227.493917274939,13543.315789473685,6778.23746701847,6768.284132841329,4892.209944751381
3.2,799,332.0,114.0,353.0,519,280.0,6069.2991239048815,3125.620481927711,13125.956140350878,6558.937677053825,6693.589595375723,4912.132142857143
3.3,701,309.0,66.0,326.0,517,184.0,5498.594864479315,3032.21359223301,12754.045454545454,6367.4662576687115,5845.119922630561,4524.934782608696
